,case_date,state,cases,deaths,state_abbreviation,status,restriction_start,restriction_end,status_details,external_link,population,country,county,date,type
21,2020-02-11,Washington,1,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
22,2020-02-12,Washington,1,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
23,2020-02-13,Washington,1,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
24,2020-02-14,Washington,1,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
25,2020-02-15,Washington,1,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
26,2020-02-16,Washington,1,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
27,2020-02-17,Washington,1,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
28,2020-02-18,Washington,1,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
29,2020-02-19,Washington,1,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
30,2020-02-20,Washington,1,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
31,2020-02-21,Washington,1,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
32,2020-02-22,Washington,1,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
33,2020-02-23,Washington,1,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
34,2020-02-24,Washington,5,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
35,2020-02-25,Washington,5,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
36,2020-02-26,Washington,5,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
37,2020-02-27,Washington,5,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
38,2020-02-28,Washington,7,0,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
39,2020-02-29,Washington,10,1,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
40,2020-03-01,Washington,17,3,WA,pausing,,2020-05-31,"Gov. Jay Inslee, a Democrat, said he would not hesitate to pause reopenings or close businesses if needed. While every county has now moved into some phase of reopening, Washington said it would pause before moving any counties into Phase 4 and keep restrictions in place through July 9. Mr. Inslee also ordered businesses to require employees and customers to wear face masks and prohibited bar seating and live music in most counties.  ",https://www.king5.com/article/news/health/coronavirus/washington-state-counties-phase-1-and-phase-2-reopening-coronavirus-covid/281-e005d001-006c-4ce5-bac9-67adbd1b4755,7614893,United States,,2020-03-23,Stay at home
